Brasil e Município,Origem da orientação técnica recebida,Grupos de atividade econômica,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação,Irrigação localizada  gotejamento,Irrigação localizada  microaspersão,Irrigação localizada  outros métodos,Irrigação por superfície  inundação,Irrigação por superfície  sulcos,Irrigação por superfície  outros métodos,Irrigação por aspersão  autopropelido/carretel enrolador,Irrigação por aspersão  pivô central,Irrigação por aspersão  aspersão convencional,Outros métodos de irrigação  subsuperficial,Outros métodos de irrigação  molhação
Pimenteiras (PI),Total,Total,44,17,,13,4,,,,106,,19,14,5,,7,2,,,,44,,4,30,12,,6,2,,,,62,,15,22,5,,3,2,,,,46,,9,8,7,,3,,,,,16,,6,,,,,,,,,,,,14,5,,7,2,,,,44,,4,30,12,,6,2,,,,62,,15
Pimenteiras (PI),Total,Produção de lavouras temporárias,8,3,,2,1,,,,16,,6,1,1,,1,,,,,4,,1,7,2,,1,1,,,,12,,5,6,1,,1,1,,,,11,,4,1,1,,,,,,,1,,1,,,,,,,,,,,,1,1,,1,,,,,4,,1,7,2,,1,1,,,,12,,5
Pio IX (PI),Total,Total,14,2,1,,,,,,4,,21,5,1,,,,,,,1,,2,9,1,1,,,,,,3,,19,7,1,1,,,,,,1,,15,2,,,,,,,,2,,4,,,,,,,,,,,,5,1,,,,,,,1,,2,9,1,1,,,,,,3,,19
Pio IX (PI),Total,Produção de lavouras temporárias,3,,1,,,,,,1,,7,1,,,,,,,,1,,,2,,1,,,,,,,,7,2,,1,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,2,,1,,,,,,,,7
Piracuruca (PI),Total,Total,14,27,50,6,,,,1,168,,17,8,18,19,2,,,,,65,,1,6,9,31,4,,,,1,103,,16,3,4,22,3,,,,,62,,14,3,5,9,,,,,1,41,,2,,,,1,,,,,,,,8,17,19,3,,,,,65,,1,6,10,31,3,,,,1,103,,16
Piracuruca (PI),Total,Produção de lavouras temporárias,1,4,19,,,,,,24,,4,,3,8,,,,,,12,,,1,1,11,,,,,,12,,4,,1,9,,,,,,9,,4,1,,2,,,,,,3,,,,,,,,,,,,,,,2,8,,,,,,12,,,1,2,11,,,,,,12,,4
Piripiri (PI),Total,Total,27,16,,3,60,,,,110,2,38,11,5,,1,8,,,,34,,10,16,11,,2,52,,,,76,2,28,13,11,,1,34,,,,55,1,27,3,,,1,18,,,,21,1,1,,,,,,,,,,,,11,5,,1,8,,,,34,,10,16,11,,2,52,,,,76,2,28
Piripiri (PI),Total,Produção de lavouras temporárias,7,5,,,46,,,,54,,9,4,2,,,6,,,,11,,2,3,3,,,40,,,,43,,7,3,3,,,28,,,,34,,7,,,,,12,,,,9,,,,,,,,,,,,,,4,2,,,6,,,,11,,2,3,3,,,40,,,,43,,7
Porto (PI),Total,Total,3,,,21,1,,,,11,10,5,,,,1,,,,,5,6,1,3,,,20,1,,,,6,4,4,2,,,20,,,,,6,2,3,,,,,1,,,,,2,1,1,,,,,,,,,,,1,,,1,,,,,5,6,1,2,,,20,1,,,,6,4,4
Porto (PI),Total,Produção de lavouras temporárias,1,,,16,,,,,,4,3,,,,,,,,,,2,,1,,,16,,,,,,2,3,1,,,16,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,16,,,,,,2,3
Porto Alegre do Piauí (PI),Total,Total,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Porto Alegre do Piauí (PI),Total,Produção de lavouras temporárias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prata do Piauí (PI),Total,Total,2,1,,,,,,,2,1,7,,,,,,,,,1,,2,2,1,,,,,,,1,1,5,2,,,,,,,,1,1,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,2,1,,,,,,,1,1,5
Prata do Piauí (PI),Total,Produção de lavouras temporárias,1,1,,,,,,,,,2,,,,,,,,,,,,1,1,,,,,,,,,2,1,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,2
Queimada Nova (PI),Total,Total,42,3,,,,,,,7,,12,11,2,,,,,,,2,,,31,1,,,,,,,5,,12,26,1,,,,,,,2,,10,5,,,,,,,,3,,2,,,,,,,,,,,,11,2,,,,,,,2,,,31,1,,,,,,,5,,12
Queimada Nova (PI),Total,Produção de lavouras temporárias,3,1,,,,,,,1,,,,1,,,,,,,,,,3,,,,,,,,1,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,,,,1,,
Redenção do Gurguéia (PI),Total,Total,4,4,,,1,,,6,6,1,17,2,3,,,,,,5,3,,1,2,1,,,1,,,1,3,1,16,,1,,,1,,,,,1,13,1,,,,,,,1,3,,3,1,,,,,,,,,,,3,3,,,,,,4,3,,1,1,1,,,1,,,2,3,1,16
Redenção do Gurguéia (PI),Total,Produção de lavouras temporárias,2,,,,1,,,2,,,3,,,,,,,,2,,,1,2,,,,1,,,,,,2,,,,,1,,,,,,2,1,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,1,1,,,,1,,,1,,,2
Regeneração (PI),Total,Total,4,1,,1,,,1,1,3,,1,1,,,1,,,,,3,,,3,1,,,,,1,1,,,1,3,1,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,3,,,3,1,,,,,1,1,,,1
Regeneração (PI),Total,Produção de lavouras temporárias,3,1,,,,,,,,,1,,,,,,,,,,,,3,1,,,,,,,,,1,3,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,1
Riacho Frio (PI),Total,Total,,,,,,,,,1,2,25,,,,,,,,,,,1,,,,,,,,,1,2,24,,,,,,,,,1,2,19,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,2,24
Riacho Frio (PI),Total,Produção de lavouras temporárias,,,,,,,,,1,,6,,,,,,,,,,,,,,,,,,,,1,,6,,,,,,,,,1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,6
Ribeira do Piauí (PI),Total,Total,4,1,1,9,1,2,,2,3,1,1,2,1,,1,1,1,,,,,,2,,1,8,,1,,2,3,1,1,2,,1,6,,,,1,3,1,1,,,,2,,1,,1,,,,,,,,,,,,,,,2,1,,1,1,1,,,,,,2,,1,8,,1,,2,3,1,1
Ribeira do Piauí (PI),Total,Produção de lavouras temporárias,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
Ribeiro Gonçalves (PI),Total,Total,2,,,,,,,,3,,,1,,,,,,,,3,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,1,,,,,,,,,,
Ribeiro Gonçalves (PI),Total,Produção de lavouras temporárias,2,,,,,,,,3,,,1,,,,,,,,3,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,,,1,,,,,,,,,,
Rio Grande do Piauí (PI),Total,Total,12,8,,,,,,,1,,9,3,2,,,,,,,1,,2,9,6,,,,,,,,,7,5,5,,,,,,,,,7,4,1,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,1,,2,9,6,,,,,,,,,7
Rio Grande do Piauí (PI),Total,Produção de lavouras temporárias,6,4,,,,,,,,,6,1,,,,,,,,,,2,5,4,,,,,,,,,4,4,3,,,,,,,,,4,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,5,4,,,,,,,,,4
Santa Cruz do Piauí (PI),Total,Total,8,3,,,,,,,15,,,3,1,,,,,,,3,,,5,2,,,,,,,12,,,4,2,,,,,,,5,,,1,,,,,,,,7,,,,,,,,,,,,,,3,1,,,,,,,3,,,5,2,,,,,,,12,,
Santa Cruz do Piauí (PI),Total,Produção de lavouras temporárias,2,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,2,,,2,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,
Santa Cruz dos Milagres (PI),Total,Total,,,,,,,,,14,,1,,,,,,,,,8,,,,,,,,,,,6,,1,,,,,,,,,2,,1,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,6,,1
Santa Cruz dos Milagres (PI),Total,Produção de lavouras temporárias,,,,,,,,,4,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,
Santa Filomena (PI),Total,Total,4,1,1,,,1,1,,1,2,9,3,,,,,,,,,,3,1,1,1,,,1,1,,1,2,6,,,1,,,,1,,,2,5,1,1,,,,1,,,1,,1,,,,,,,,,,,,3,,,,,,,,,,3,1,1,1,,,1,1,,1,2,6
Santa Filomena (PI),Total,Produção de lavouras temporárias,,,,,,,,,,1,4,,,,,,,,,,,1,,,,,,,,,,1,3,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,3
Santa Luz (PI),Total,Total,19,4,,1,5,,,1,20,,4,8,2,,,4,,,,8,,,11,2,,1,1,,,1,12,,4,4,1,,,1,,,,3,,4,7,1,,1,,,,1,9,,,,,,,,,,,,,,8,2,,,4,,,,8,,,11,2,,1,1,,,1,12,,4
Santa Luz (PI),Total,Produção de lavouras temporárias,5,3,,,1,,,1,1,,1,2,1,,,,,,,,,,3,2,,,1,,,1,1,,1,2,1,,,1,,,,,,1,1,1,,,,,,1,1,,,,,,,,,,,,,,2,1,,,,,,,,,,3,2,,,1,,,1,1,,1
Santana do Piauí (PI),Total,Total,3,1,,1,,,,1,1,,37,1,,,,,,,,1,,9,2,1,,1,,,,1,,,28,2,1,,1,,,,1,,,26,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,1,,9,2,1,,1,,,,1,,,28
Santana do Piauí (PI),Total,Produção de lavouras temporárias,1,,,1,,,,,,,15,1,,,,,,,,,,7,,,,1,,,,,,,8,,,,1,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,7,,,,1,,,,,,,8
Santa Rosa do Piauí (PI),Total,Total,24,3,,,,,,,76,1,9,8,1,,,,,,,23,1,1,16,2,,,,,,,53,,8,10,1,,,,,,,26,,7,6,1,,,,,,,27,,1,,,,,,,,,,,,8,1,,,,,,,23,1,1,16,2,,,,,,,53,,8
Santa Rosa do Piauí (PI),Total,Produção de lavouras temporárias,9,,,,,,,,22,,3,3,,,,,,,,7,,,6,,,,,,,,15,,3,5,,,,,,,,14,,2,1,,,,,,,,1,,1,,,,,,,,,,,,3,,,,,,,,7,,,6,,,,,,,,15,,3
Santo Antônio de Lisboa (PI),Total,Total,3,2,,1,,,,,3,7,46,,,,,,,,,2,1,5,3,2,,1,,,,,1,6,41,1,,,1,,,,,1,6,41,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,5,3,2,,1,,,,,1,6,41
Santo Antônio de Lisboa (PI),Total,Produção de lavouras temporárias,1,,,,,,,,,,17,,,,,,,,,,,2,1,,,,,,,,,,15,1,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,15
Santo Antônio dos Milagres (PI),Total,Total,6,,,,,,,,2,,2,3,,,,,,,,2,,,3,,,,,,,,,,2,2,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,2,,,3,,,,,,,,,,2
Santo Antônio dos Milagres (PI),Total,Produção de lavouras temporárias,3,,,,,,,,,,1,1,,,,,,,,,,,2,,,,,,,,,,1,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,2,,,,,,,,,,1
Santo Inácio do Piauí (PI),Total,Total,13,13,1,1,1,,,,8,,2,3,4,1,1,1,,,,3,,,10,9,,,,,,,5,,2,7,6,,,,,,,1,,1,3,3,,,,,,,4,,1,,,,,,,,,,,,3,4,1,1,1,,,,3,,,10,9,,,,,,,5,,2
Santo Inácio do Piauí (PI),Total,Produção de lavouras temporárias,3,2,,,,,,,,,1,,,,,,,,,,,,3,2,,,,,,,,,1,2,2,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,1
São Félix do Piauí (PI),Total,Total,1,,,1,,,,,18,,8,,,,1,,,,,9,,3,1,,,,,,,,9,,5,,,,,,,,,7,,4,1,,,,,,,,2,,1,,,,,,,,,,,,,,,1,,,,,9,,3,1,,,,,,,,9,,5
São Félix do Piauí (PI),Total,Produção de lavouras temporárias,,,,,,,,,2,,3,,,,,,,,,1,,1,,,,,,,,,1,,2,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,2
São Francisco de Assis do Piauí (PI),Total,Total,10,1,,,,,,,7,,1,4,,,,,,,,2,,,6,1,,,,,,,5,,1,2,1,,,,,,,2,,1,4,,,,,,,,3,,,,,,,,,,,,,,4,,,,,,,,2,,,6,1,,,,,,,5,,1
São Francisco de Assis do Piauí (PI),Total,Produção de lavouras temporárias,1,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,
São Francisco do Piauí (PI),Total,Total,12,3,,,,,,,8,,1,2,2,,,,,,,4,,,10,1,,,,,,,4,,1,10,,,,,,,,4,,1,,1,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,4,,,10,1,,,,,,,4,,1
São Francisco do Piauí (PI),Total,Produção de lavouras temporárias,7,1,,,,,,,1,,1,1,1,,,,,,,,,,6,,,,,,,,1,,1,6,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,6,,,,,,,,1,,1
São Gonçalo do Gurguéia (PI),Total,Total,4,1,1,3,1,,,2,3,,9,3,1,1,,,,,,2,,1,1,,,3,1,,,2,1,,8,1,,,2,,,,,1,,6,,,,1,1,,,2,,,2,,,,,,,,,,,,3,1,,,,,,,1,,1,1,,1,3,1,,,2,2,,8
São Gonçalo do Gurguéia (PI),Total,Produção de lavouras temporárias,2,,1,,,,,,2,,2,2,,1,,,,,,1,,1,,,,,,,,,1,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,1,,,,,,2,,1
São Gonçalo do Piauí (PI),Total,Total,16,2,,,,,,,13,,33,9,1,,,,,,,5,,5,7,1,,,,,,,8,,28,4,,,,,,,,2,,24,3,1,,,,,,,6,,4,,,,,,,,,,,,9,1,,,,,,,5,,5,7,1,,,,,,,8,,28
São Gonçalo do Piauí (PI),Total,Produção de lavouras temporárias,6,2,,,,,,,4,,6,4,1,,,,,,,1,,2,2,1,,,,,,,3,,4,1,,,,,,,,,,3,1,1,,,,,,,3,,1,,,,,,,,,,,,4,1,,,,,,,1,,2,2,1,,,,,,,3,,4
São João da Canabrava (PI),Total,Total,,,,5,,2,1,,7,1,3,,,,1,,1,,,2,,,,,,4,,1,1,,5,1,3,,,,4,,1,1,,2,1,3,,,,,,,,,3,,,,,,,,,,,,,,,,,1,,1,,,2,,,,,,4,,1,1,,5,1,3
São João da Canabrava (PI),Total,Produção de lavouras temporárias,,,,4,,,,,3,1,2,,,,1,,,,,,,,,,,3,,,,,3,1,2,,,,3,,,,,1,1,2,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,3,,,,,3,1,2
São João da Fronteira (PI),Total,Total,7,9,,,,,,,6,,2,1,1,,,,,,,1,,1,6,8,,,,,,,5,,1,4,6,,,,,,,5,,1,2,2,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,1,6,8,,,,,,,5,,1
São João da Fronteira (PI),Total,Produção de lavouras temporárias,2,6,,,,,,,,,,1,1,,,,,,,,,,1,5,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,5,,,,,,,,,
São João da Serra (PI),Total,Total,3,7,,,,,,,4,,13,1,2,,,,,,,2,,3,2,5,,,,,,,2,,10,1,4,,,,,,,1,,8,1,1,,,,,,,1,,2,,,,,,,,,,,,1,2,,,,,,,2,,3,2,5,,,,,,,2,,10
São João da Serra (PI),Total,Produção de lavouras temporárias,,1,,,,,,,1,,4,,,,,,,,,,,1,,1,,,,,,,1,,3,,1,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,3
São João da Varjota (PI),Total,Total,4,2,,,,,,,2,,5,,,,,,,,,1,,2,4,2,,,,,,,1,,3,4,2,,,,,,,1,,1,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,1,,2,4,2,,,,,,,1,,3
São João da Varjota (PI),Total,Produção de lavouras temporárias,4,1,,,,,,,1,,,,,,,,,,,,,,4,1,,,,,,,1,,,4,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,1,,
São João do Arraial (PI),Total,Total,5,2,2,1,1,1,,,11,,8,1,,,,,,,,2,,1,4,2,2,1,1,1,,,9,,7,4,2,1,1,1,1,,,8,,7,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,2,,1,4,2,2,1,1,1,,,9,,7
São João do Arraial (PI),Total,Produção de lavouras temporárias,1,,,,,,,,4,,3,1,,,,,,,,1,,,,,,,,,,,3,,3,,,,,,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,3,,3
São João do Piauí (PI),Total,Total,25,44,4,19,14,2,1,8,107,5,3,9,13,2,7,2,1,,3,33,1,,16,31,2,12,12,1,1,5,74,4,3,7,16,,12,11,,1,4,58,3,2,9,15,2,,1,1,,1,16,1,1,,,,,,,,,,,,9,13,2,7,2,1,,3,33,1,,16,31,2,12,12,1,1,5,74,4,3
São João do Piauí (PI),Total,Produção de lavouras temporárias,6,10,2,2,4,1,,1,24,3,1,3,2,2,,,1,,,6,1,,3,8,,2,4,,,1,18,2,1,2,4,,2,4,,,1,13,2,1,1,4,,,,,,,5,,,,,,,,,,,,,,3,2,2,,,1,,,6,1,,3,8,,2,4,,,1,18,2,1
São José do Divino (PI),Total,Total,,2,,1,,,,,101,,2,,1,,,,,,,23,,,,1,,1,,,,,78,,2,,1,,,,,,,40,,2,,,,1,,,,,38,,,,,,,,,,,,,,,1,,,,,,,23,,,,1,,1,,,,,78,,2
São José do Divino (PI),Total,Produção de lavouras temporárias,,,,1,,,,,16,,,,,,,,,,,4,,,,,,1,,,,,12,,,,,,,,,,,11,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,4,,,,,,1,,,,,12,,
São José do Peixe (PI),Total,Total,7,2,,,1,,,,9,,1,,2,,,,,,,3,,,7,,,,1,,,,6,,1,6,,,,,,,,4,,1,1,,,,1,,,,2,,,,,,,,,,,,,,,2,,,,,,,3,,,7,,,,1,,,,6,,1
São José do Peixe (PI),Total,Produção de lavouras temporárias,4,,,,1,,,,2,,1,,,,,,,,,,,,4,,,,1,,,,2,,1,3,,,,,,,,1,,1,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,1,,,,2,,1
São José do Piauí (PI),Total,Total,24,6,3,,,,,2,,,11,5,1,2,,,,,,,,3,19,5,1,,,,,2,,,8,14,2,,,,,,1,,,8,5,3,1,,,,,1,,,,,,,,,,,,,,,5,1,2,,,,,,,,3,19,5,1,,,,,2,,,8
São José do Piauí (PI),Total,Produção de lavouras temporárias,8,1,1,,,,,1,,,9,2,,1,,,,,,,,3,6,1,,,,,,1,,,6,5,1,,,,,,1,,,6,1,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,3,6,1,,,,,,1,,,6
São Lourenço do Piauí (PI),Total,Total,1,1,2,,,,,,1,,13,1,1,,,,,,,1,,,,,2,,,,,,,,13,,,2,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,2,,,,,,,,13
São Lourenço do Piauí (PI),Total,Produção de lavouras temporárias,,,1,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,2,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2
São Luis do Piauí (PI),Total,Total,,,,4,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
São Luis do Piauí (PI),Total,Produção de lavouras temporárias,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
São Miguel da Baixa Grande (PI),Total,Total,3,3,,,,,,,3,,6,2,2,,,,,,,2,,2,1,1,,,,,,,1,,4,1,1,,,,,,,1,,4,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,2,,2,1,1,,,,,,,1,,4
São Miguel da Baixa Grande (PI),Total,Produção de lavouras temporárias,1,1,,,,,,,1,,2,1,1,,,,,,,,,1,,,,,,,,,1,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,1,,1
São Miguel do Fidalgo (PI),Total,Total,2,1,,,,,,,11,,,,,,,,,,,2,,,2,1,,,,,,,9,,,1,1,,,,,,,2,,,1,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,2,,,2,1,,,,,,,9,,
São Miguel do Fidalgo (PI),Total,Produção de lavouras temporárias,2,1,,,,,,,5,,,,,,,,,,,1,,,2,1,,,,,,,4,,,1,1,,,,,,,2,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,2,1,,,,,,,4,,
São Miguel do Tapuio (PI),Total,Total,26,16,5,,,,,1,73,,58,10,6,3,,,,,1,32,,13,16,10,2,,,,,,41,,45,15,8,1,,,,,,29,,38,1,2,1,,,,,,12,,7,,,,,,,,,,,,10,6,3,,,,,1,32,,13,16,10,2,,,,,,41,,45
São Miguel do Tapuio (PI),Total,Produção de lavouras temporárias,4,1,2,,,,,,13,,17,,,2,,,,,,7,,4,4,1,,,,,,,6,,13,4,1,,,,,,,5,,13,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,7,,4,4,1,,,,,,,6,,13
São Pedro do Piauí (PI),Total,Total,39,4,,,1,,,,14,,3,10,2,,,,,,,6,,,29,2,,,1,,,,8,,3,18,1,,,1,,,,5,,3,11,1,,,,,,,3,,,,,,,,,,,,,,10,2,,,,,,,6,,,29,2,,,1,,,,8,,3
São Pedro do Piauí (PI),Total,Produção de lavouras temporárias,15,,,,1,,,,5,,1,3,,,,,,,,1,,,12,,,,1,,,,4,,1,7,,,,1,,,,3,,1,5,,,,,,,,1,,,,,,,,,,,,,,3,,,,,,,,1,,,12,,,,1,,,,4,,1
São Raimundo Nonato (PI),Total,Total,24,5,,,8,2,,,17,,32,9,2,,,2,,,,6,,2,15,3,,,6,2,,,11,,30,8,1,,,5,,,,5,,23,7,2,,,1,2,,,6,,7,,,,,,,,,,,,9,2,,,2,,,,6,,2,15,3,,,6,2,,,11,,30
São Raimundo Nonato (PI),Total,Produção de lavouras temporárias,3,,,,,,,,3,,4,3,,,,,,,,2,,1,,,,,,,,,1,,3,,,,,,,,,,,1,,,,,,,,,1,,2,,,,,,,,,,,,3,,,,,,,,2,,1,,,,,,,,,1,,3
Sebastião Barros (PI),Total,Total,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Sebastião Barros (PI),Total,Produção de lavouras temporárias,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Sebastião Leal (PI),Total,Total,6,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,2,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,
Sebastião Leal (PI),Total,Produção de lavouras temporárias,3,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,
Sigefredo Pacheco (PI),Total,Total,37,11,5,1,,,,1,18,,3,14,3,3,1,,,,1,9,,,23,8,2,,,,,,9,,3,16,6,2,,,,,,5,,3,7,2,,,,,,,4,,,,,,,,,,,,,,14,3,3,1,,,,1,9,,,23,8,2,,,,,,9,,3
